"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Tucker Kraft","GB","TE","138.3","96.1","42.20000000000002","8.1","5.7","2.5","17","50","48.59","707","452.45","7","4.2144","6","11.2504","0","0.02"
"Juwan Johnson","NO","TE","97.8","89.7","8.099999999999994","5.8","5.3","0.5","17","50","45.93","548","535.27","3","2.208","0","0","0","0"
"Jalen Tolbert","DAL","WR","127.5","114.1","13.400000000000006","7.5","6.7","0.8","17","49","45.31","610","594.77","7","5.3296","0","0","0","0"
"Tyler Lockett","SEA","WR","96.5","103.2","-6.700000000000003","5.7","6.1","-0.4","17","49","44.38","600","590.03","2","3.6672","0","0","0","0"
"Xavier Legette","CAR","WR","100.6","123.7","-23.10000000000001","6.3","7.7","-1.4","16","49","49.84","497","679.54","4","4.6656","24","26.6658","0","0.02"
"Noah Fant","SEA","TE","80","83.1","-3.0999999999999943","5.7","5.9","-0.2","14","48","46.7","500","467.63","1","2.1696","0","0","0","0"
"Adam Thielen","CAR","WR","115.5","91.5","24","11.6","9.2","2.4","10","48","38.94","615","515.89","5","3.408","0","0","0","0"
"Tre Tucker","LV","WR","105.8","115.5","-9.700000000000003","6.2","6.8","-0.6","17","47","50.22","539","695.88","3","2.3808","44","37.5732","1","0.46"
"Michael Wilson","ARZ","WR","103","102.5","0.5","6.4","6.4","0","16","47","44.1","548","567.83","4","3.8496","7","5.341","0","0.01"
"Stefon Diggs","HST","WR","97.9","88.3","9.600000000000009","12.2","11","1.2","8","47","43.84","496","509.8","3","2.4096","8","8.7318","1","0.01"
"Cole Kmet","CHI","TE","94.9","78.7","16.200000000000003","5.6","4.6","1","17","47","38.88","474","413.71","4","2.976","0","0","0","0"
"James Conner","ARZ","RB","228.3","213.8","14.5","14.3","13.4","0.9","16","47","47.38","414","318.87","1","1.3152","1094","958.825","8","9.07"
"Bucky Irving","TB","RB","222.9","194.1","28.80000000000001","13.1","11.4","1.7","17","47","45.13","392","260.21","0","1.584","1122","848.7502","8","8.53"
"Evan Engram","JAX","TE","66","77.9","-11.900000000000006","7.3","8.7","-1.3","9","47","46.67","365","479.19","1","1.1136","0","0","0","0"
"Kyle Pitts","ATL","TE","107.7","97.5","10.200000000000003","6.3","5.7","0.6","17","47","46.64","602","525.99","4","3.6","0","0","0","0"
"Romeo Doubs","GB","WR","107.1","99.8","7.299999999999997","8.2","7.7","0.6","13","46","43.18","601","605.71","4","2.9472","0","0","0","0"
"Kenneth Walker III","SEA","RB","158.2","166.4","-8.200000000000017","14.4","15.1","-0.7","11","46","45.85","299","288.57","1","1.5744","573","642.0494","7","6.82"
"Olamide Zaccheaus","WAS","WR","91.9","86.2","5.700000000000003","5.4","5.1","0.3","17","45","45.08","506","455.51","3","2.9472","8","3.5966","0","0.01"
"Rashod Bateman","BLT","WR","152.1","116.9","35.19999999999999","8.9","6.9","2.1","17","45","41.87","756","638.61","9","5.3584","0","0","0","0"
"Austin Hooper","NE","TE","88.1","80.6","7.5","5.2","4.7","0.4","17","45","41.75","476","433.84","3","2.7264","0","0","0","0"
"Dalton Kincaid","BUF","TE","78.8","101.7","-22.900000000000006","6.1","7.8","-1.8","13","44","49.97","448","546.45","2","3.6864","0","0","0","0"
"Amari Cooper","BUF","WR","100.7","120.4","-19.700000000000003","7.2","8.6","-1.4","14","44","50.69","547","720.38","4","3.8304","0","0","0","0"
"Chuba Hubbard","CAR","RB","224.1","223.1","1","14.9","14.9","0.1","15","43","45.69","171","282.84","1","1.4592","1195","1024.4176","10","10.13"
"Kayshon Boutte","NE","WR","98.4","97","1.4000000000000057","6.6","6.5","0.1","15","43","40.57","589","629.07","3","2.304","0","0","0","0"
"Tutu Atwell","LA","WR","77.9","89.1","-11.199999999999989","4.6","5.2","-0.7","17","42","40.88","562","594.86","0","1.3632","7","7.8694","0","0.03"
"D'Andre Swift","CHI","RB","191.5","204.7","-13.199999999999989","11.3","12","-0.8","17","42","43","386","317.5","0","0.2784","959","1093.0834","6","6.74"
"Isaiah Likely","BLT","TE","104.7","90.6","14.100000000000009","6.5","5.7","0.9","16","42","38.49","477","419.18","6","4.9056","0","0","0","0"
"Zach Charbonnet","SEA","RB","162.7","143","19.69999999999999","9.6","8.4","1.2","17","42","41.11","308","274.28","1","0.3072","569","558.6706","8","6.21"
"Dallas Goedert","PHI","TE","82.6","78.7","3.8999999999999915","8.3","7.9","0.4","10","42","36.89","496","389.83","2","3.552","0","0","0","0"
"Justice Hill","BLT","RB","106.1","76.4","29.69999999999999","7.1","5.1","2","15","42","39.07","383","251.44","3","1.1136","228","199.2634","1","0.85"
"T.J. Hockenson","MIN","TE","66","79.4","-13.400000000000006","6.6","7.9","-1.3","10","41","38.33","455","449.77","0","2.544","0","0","0","0"
"Devaughn Vele","DEN","WR","86","77.4","8.599999999999994","6.6","6","0.7","13","41","35.95","475","403.25","3","3.1776","0","0","0","0"
"Tony Pollard","TEN","RB","182.2","200.8","-18.600000000000023","11.4","12.6","-1.2","16","41","46.82","238","329.74","0","0.7104","1079","1134.0756","5","4.45"
"Noah Gray","KC","TE","93.3","77","16.299999999999997","5.5","4.5","1","17","40","35.27","437","369.84","5","3.7248","-4","0","0","0"
"Jordan Akins","CLV","TE","71","70.2","0.7999999999999972","4.2","4.1","0","17","40","38.41","390","385.64","2","2.064","0","0","0","0"
"Ameer Abdullah","LV","RB","107.2","101.2","6","7.7","7.2","0.4","14","40","38.07","261","263.72","3","1.9008","311","273.9598","2","2.83"
"Brenton Strange","JAX","TE","73.1","72.2","0.8999999999999915","4.3","4.2","0.1","17","40","36.83","411","381.63","2","2.6112","0","0","0","0"
"Darius Slayton","NYG","WR","90.5","101.1","-10.599999999999994","5.7","6.3","-0.7","16","39","40.74","573","605.05","2","3.0336","17","6.272","0","0.24"
"Tyler Boyd","TEN","WR","58.8","73.5","-14.700000000000003","3.7","4.6","-0.9","16","39","39.91","390","427.18","0","1.8064","3","0","0","0"
"Joshua Palmer","LAC","WR","83.9","97.8","-13.899999999999991","5.6","6.5","-0.9","15","39","37.86","584","609.21","1","2.9952","0","0","0","0"
"Rico Dowdle","DAL","RB","182.3","190","-7.699999999999989","11.4","11.9","-0.5","16","39","41.2","249","272.11","3","2.2272","1079","1012.1056","2","4.6"
"Travis Etienne Jr.","JAX","RB","112.7","143.8","-31.10000000000001","7.5","9.6","-2.1","15","39","41.83","254","276.1","0","1.4592","558","643.949","2","3.69"
"Dontayvion Wicks","GB","WR","91","117","-26","5.4","6.9","-1.5","17","39","46.32","415","601.79","5","5.6176","0","0","0","0"
"Marvin Mims Jr.","DEN","WR","110","74.5","35.5","6.5","4.4","2.1","17","39","38.45","503","356.25","6","2.208","42","60.368","0","0.06"
"Jaylen Warren","PIT","RB","107.1","122.2","-15.100000000000009","7.1","8.1","-1","15","38","36.92","310","265.3","0","1.5456","511","514.8822","1","2.74"
"Tyrone Tracy","NYG","RB","167.3","162.1","5.200000000000017","9.8","9.5","0.3","17","38","41.72","284","291.23","1","0.9696","839","827.6602","5","3.92"
"Jalen McMillan","TB","WR","116.9","93.7","23.200000000000003","9","7.2","1.8","13","37","35.76","461","467.62","8","4.5216","43","15.288","0","0.06"
"Alec Pierce","IND","WR","142.9","114.9","28","8.9","7.2","1.8","16","37","33.38","824","733.08","7","4.1472","0","0","0","0"
"Jerome Ford","CLV","RB","115.5","104.1","11.400000000000006","8.3","7.4","0.8","14","37","35.78","225","241.7","0","0.4224","565","454.622","3","2.34"
"Greg Dortch","ARZ","WR","73.8","63.1","10.699999999999996","4.3","3.7","0.6","17","37","35.02","342","297.24","3","2.1696","31","15.9544","0","0.21"
"Allen Lazard","NYJ","WR","107.5","90.5","17","9","7.5","1.4","12","37","39.16","530","508.99","6","3.3408","0","0","0","0"
"David Montgomery","DET","RB","201.6","183.8","17.799999999999983","14.4","13.1","1.3","14","36","31.87","341","226.17","0","0.7776","775","729.3482","12","11.28"
"Najee Harris","PIT","RB","186.6","212.6","-26","11","12.5","-1.5","17","36","40.42","283","264.03","0","0.6624","1043","1113.2224","6","8.45"
"Josh Jacobs","GB","RB","281.1","253.3","27.80000000000001","16.5","14.9","1.6","17","36","36.22","342","247.8","1","0.6912","1329","1233.1666","15","13.82"
"Joe Mixon","HST","RB","222.5","220.7","1.8000000000000114","15.9","15.8","0.1","14","36","40.54","309","267.21","1","2.1888","1016","1007.5788","11","9.97"
"Andrei Iosivas","CIN","WR","101.9","101.2","0.7000000000000028","6","6","0","17","36","37.72","479","490.79","6","5.5488","0","0","0","0"
"Alexander Mattison","LV","RB","119.4","135.8","-16.400000000000006","8.5","9.7","-1.2","14","36","37.86","294","251.46","1","0.576","420","549.7134","4","5.55"
"Calvin Austin III","PIT","WR","96.8","84","12.799999999999997","5.7","4.9","0.8","17","36","35.57","548","491.47","4","2.8512","0","0","0","0"
"Austin Ekeler","WAS","RB","114.8","100.5","14.299999999999997","9.6","8.4","1.2","12","35","34.89","366","226.72","0","0.6528","367","306.9474","4","4.29"
"Noah Brown","WAS","WR","68.8","75.7","-6.900000000000006","6.3","6.9","-0.6","11","35","35.04","453","498.48","1","1.3824","0","0","0","0"
"Kyren Williams","LA","RB","261.1","259","2.1000000000000227","16.3","16.2","0.1","16","34","32.87","182","219.75","2","2.0736","1299","1293.2884","14","13.13"
"Rhamondre Stevenson","NE","RB","161.4","182.7","-21.299999999999983","10.8","12.2","-1.4","15","33","34.04","168","201.04","1","2.5344","801","863.3616","7","7.34"
"Saquon Barkley","PHI","RB","334.8","262.7","72.10000000000002","20.9","16.4","4.5","16","33","30.92","278","231.53","2","2.6208","2005","1448.5784","13","10.58"
"Tim Patrick","DET","WR","73.9","79.1","-5.199999999999989","4.6","4.9","-0.3","16","33","30.83","394","400.29","3","3.9456","0","0","0","0"
"Ja'Tavion Sanders","CAR","TE","56.7","62.5","-5.799999999999997","3.5","3.9","-0.4","16","33","31.97","342","316.12","1","2.4768","0","0","0","0"
"Diontae Johnson","HST","WR","72.6","108.7","-36.10000000000001","6","9.1","-3","12","33","41.25","375","532.55","3","5.6576","6","8.6142","0","0.01"
"J.K. Dobbins","LAC","RB","175.8","161.1","14.700000000000017","13.5","12.4","1.1","13","32","30.89","153","189.24","0","1.0848","905","823.3388","9","6.32"
"Foster Moreau","NO","TE","87.3","80.6","6.700000000000003","5.1","4.7","0.4","17","32","28.66","413","344.51","5","5.3008","0","0","0","0"
"James Cook","BUF","RB","250.7","193.6","57.099999999999994","15.7","12.1","3.6","16","32","32.41","258","230.14","2","1.2192","1009","850.6514","16","10.34"
"Nick Westbrook-Ikhine","TEN","WR","119.7","89.5","30.200000000000003","7","5.3","1.8","17","32","33.2","497","448.05","9","4.6848","0","0","0","0"
"Sterling Shepard","TB","WR","62.3","70.9","-8.600000000000009","4.5","5.1","-0.6","14","32","31.48","334","377.95","1","2.2944","69","28.0378","0","0.13"
"Chris Olave","NO","WR","62.7","63.3","-0.5999999999999943","7.8","7.9","-0.1","8","32","27.96","400","349.28","1","2.392","7","0","0","0"
"David Moore","CAR","WR","69.1","86.1","-17","4.1","5.1","-1","17","32","33.37","351","440.77","3","3.9072","0","1.6954","0","0.29"
"Jalen Coker","CAR","WR","75.8","66.7","9.099999999999994","6.9","6.1","0.8","11","32","28.77","478","383.25","2","2.3328","0","0","0","0"
"Parker Washington","JAX","WR","73","74.7","-1.7000000000000028","4.3","4.4","-0.1","17","32","31.55","390","422.36","3","2.784","0","0","0","0"
"Curtis Samuel","BUF","WR","48.2","62.1","-13.899999999999999","3.4","4.4","-1","14","31","33.51","253","297.44","1","2.1408","14","11.5346","0","0.26"
"Mack Hollins","BUF","WR","83.3","78.6","4.700000000000003","4.9","4.6","0.3","17","31","28.72","378","403.23","5","3.984","0","0","0","0"
"KaVontae Turpin","DAL","WR","78.7","74.7","4","4.6","4.4","0.2","17","31","32.35","420","354.24","2","2.4864","92","73.6666","0","0.13"
"Ricky Pearsall","SF","WR","78","63.9","14.100000000000001","7.1","5.8","1.3","11","31","28.58","400","387.15","3","1.6608","45","9.3492","0","0"
"Demarcus Robinson","LA","WR","108","115","-7","6.4","6.8","-0.4","17","31","33.71","505","547.91","7","7.2192","0","0","0","0"
"Lil'Jordan Humphrey","DEN","WR","50.8","64.7","-13.900000000000006","3","3.8","-0.8","17","31","31.97","293","324.01","1","2.7264","0","0","0","0"
"Tyjae Spears","TEN","RB","98.6","90.8","7.799999999999997","8.2","7.6","0.6","12","30","29.46","224","200.86","1","0.6528","312","358.357","4","2.7"
"AJ Barner","SEA","TE","63.5","55.1","8.399999999999999","3.7","3.2","0.5","17","30","28.97","245","247.61","4","2.64","0","0","0","0"
"Dyami Brown","WAS","WR","54.4","48.2","6.199999999999996","3.4","3","0.4","16","30","27.39","308","255","1","1.2576","26","13.622","0","0.01"
"Colby Parkinson","LA","TE","50.4","68.1","-17.699999999999996","3","4","-1","17","30","34.36","294","336.68","1","2.8816","0","0","0","0"
"Theo Johnson","NYG","TE","53.6","57.4","-3.799999999999997","4.5","4.8","-0.3","12","29","30.94","331","332.05","1","1.4592","0","0","0","0"
"Christian Watson","GB","WR","90.8","86.8","4","6.1","5.8","0.3","15","29","26.85","620","489.3","2","3.744","23","16.6306","0","0.05"
"Keon Coleman","BUF","WR","95","92","3","7.3","7.1","0.2","13","29","30.95","556","454.08","4","5.1936","9","0","0","0"
"Cedric Tillman","CLV","WR","65.9","71.2","-5.299999999999997","6","6.5","-0.5","11","29","28.66","339","386.22","3","2.9856","-5","3.234","0","0.01"
"Josh Whyle","TEN","TE","44.8","48.7","-3.9000000000000057","2.6","2.9","-0.2","17","28","27.57","248","269.05","1","1.3344","0","0","0","0"
"Troy Franklin","DEN","WR","53.1","72.3","-19.199999999999996","3.3","4.5","-1.2","16","28","30.44","263","413.88","2","2.4672","8","9.0846","0","0"
"Kendrick Bourne","NE","WR","51.1","50","1.1000000000000014","4.3","4.2","0.1","12","28","24.31","305","287.13","1","1.4496","6","4.067","0","0"
"Jalen Nailor","MIN","WR","91","77.3","13.700000000000003","5.4","4.5","0.8","17","28","26.64","414","361.8","6","4.1184","-4","8.4182","0","0.38"
