"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trenton Irwin","CIN","WR","3","21.1","-18.1","0.4","3","-2.6","7","3","5.45","15","44.14","0","2.3248","0","0","0","0"
"Travis Homer","CHI","RB","4.9","6.1","-1.1999999999999993","0.8","1","-0.2","6","3","2.6","11","19.63","0","0","23","27.0578","0","0.02"
"Malachi Corley","NYJ","WR","5.7","11.8","-6.1000000000000005","0.8","1.7","-0.9","7","3","3.52","16","36.26","0","0.8928","26","7.2226","0","0.06"
"D'Wayne Eskridge","MIA","WR","5.9","3.6","2.3000000000000003","1","0.6","0.4","6","3","2.38","44","23.93","0","0.0096","0","0","0","0"
"Josiah Deguara","JAX","TE","2.9","5.3","-2.4","0.2","0.4","-0.2","12","3","2.48","14","15.13","0","0.4224","0","0","0","0"
"Tanner Conner","MIA","TE","3.1","7.5","-4.4","0.5","1.3","-0.7","6","3","2.76","16","34.39","0","0.4512","0","0","0","0"
"Gus Edwards","LAC","RB","62.6","70","-7.399999999999999","5.7","6.4","-0.7","11","3","3.69","6","24.47","0","0.0096","365","407.8964","4","4.14"
"Craig Reynolds","DET","RB","19.4","20.1","-0.7000000000000028","1.5","1.5","-0.1","13","3","4.41","40","30.6","0","0.0096","139","136.0142","0","0.19"
"Dan Chisena","CAR","WR","5.2","4","1.2000000000000002","0.9","0.7","0.2","6","3","2.63","37","27.11","0","0","0","0","0","0"
"Kenny McIntosh","SEA","RB","20.9","18","2.8999999999999986","2.6","2.3","0.4","8","3","2.58","22","18.82","0","0","172","135.6222","0","0.21"
"Jamari Thrash","CLV","WR","3.7","8.2","-4.499999999999999","0.4","0.9","-0.5","9","3","4.5","22","48.24","0","0.192","0","0","0","0"
"Dallin Holker","NO","TE","3.6","4.1","-0.49999999999999956","0.3","0.3","0","12","3","2.14","21","19.8","0","0.1728","0","0","0","0"
"David Bell","CLV","WR","4.2","4.1","0.10000000000000053","4.2","4.1","0.1","1","3","2.13","27","20.14","0","0.1728","0","0","0","0"
"Jeff Wilson Jr.","MIA","RB","9.1","13.5","-4.4","1","1.5","-0.5","9","3","2.6","19","19.33","0","0.0576","57","63.8666","0","0.59"
"Chris Manhertz","NYG","TE","10.5","6.9","3.5999999999999996","0.6","0.4","0.2","17","3","2.8","30","23.62","1","0.5184","0","0","0","0"
"Jaylen Wright","MIA","RB","27.2","40.5","-13.3","1.8","2.7","-0.9","15","3","4.98","8","28.77","0","0.2976","249","303.9176","0","0.49"
"Jonathon Brooks","CAR","RB","6","12.9","-6.9","2","4.3","-2.3","3","3","2.7","23","10.46","0","0.4992","22","36.6324","0","0.64"
"Tyler Badie","DEN","RB","9.9","8.8","1.0999999999999996","3.3","2.9","0.4","3","3","2.7","-2","16.54","0","0.1152","86","48.412","0","0.05"
"Alex Bachman","LV","WR","4.6","3.8","0.7999999999999998","0.9","0.8","0.2","5","3","2.27","31","26.31","0","0.0096","0","0","0","0"
"Deuce Vaughn","DAL","RB","10.3","14.4","-4.1","1.7","2.4","-0.7","6","3","3.52","18","25.71","0","0","70","73.9214","0","0.45"
"Allen Robinson II","DET","WR","4.5","7.2","-2.7","0.4","0.6","-0.2","12","3","4.49","30","45.22","0","0.0768","0","0","0","0"
"Terrace Marshall Jr.","LV","WR","5.6","6.7","-1.1000000000000005","0.8","1","-0.2","7","3","3.56","41","49.07","0","0","0","0","0","0"
"DeeJay Dallas","ARZ","RB","13.5","11","2.5","2.3","1.8","0.4","6","3","2.61","11","11.47","1","0.7392","49","38.2298","0","0.05"
"Patrick Ricard","BLT","RB","9.7","8.3","1.3999999999999986","0.6","0.5","0.1","17","3","3.25","22","23.69","1","0.72","0","0","0","0"
"Sione Vaki","DET","RB","6.6","6.7","-0.10000000000000053","0.7","0.7","0","10","3","2.43","37","26.88","0","0","14","25.9406","0","0.04"
"Brevin Jordan","HST","TE","1.7","3.3","-1.5999999999999999","0.8","1.6","-0.8","2","2","2.62","7","20.33","0","0","0","0","0","0"
"Julius Chestnut","TEN","RB","12.3","15.9","-3.5999999999999996","1.2","1.6","-0.4","10","2","2.71","11","18.35","0","0.0288","102","91.5418","0","0.56"
"Dameon Pierce","HST","RB","42.5","24.4","18.1","4.3","2.4","1.8","10","2","3.49","2","19.33","0","0.096","293","175.2828","2","0.44"
"Mason Kinsey","TEN","WR","2.7","3","-0.2999999999999998","0.5","0.5","0","6","2","1.48","17","17.37","0","0.0864","0","0","0","0"
"Kristian Wilkerson","LV","WR","8.8","6.3","2.500000000000001","4.4","3.1","1.3","2","2","2.08","18","13.17","1","0.6624","0","0","0","0"
"Ashton Dulin","IND","WR","18.2","19.3","-1.1000000000000014","1.2","1.3","-0.1","15","2","4.7","67","91.98","1","0.8832","45","22.736","0","0.03"
"Jaheim Bell","NE","TE","3","3.2","-0.20000000000000018","0.2","0.2","0","13","2","2","20","22.17","0","0","0","0","0","0"
"Xavier Smith","LA","WR","5.2","4.3","0.9000000000000004","0.6","0.5","0.1","9","2","1.74","6","14.24","0","0","36","17.8458","0","0.03"
"Austin Trammell","JAX","WR","5","4.2","0.7999999999999998","5","4.2","0.8","1","2","1.72","40","29.89","0","0.0576","0","0","0","0"
"Nikko Remigio","KC","WR","5.8","6.8","-1","1.4","1.7","-0.3","4","2","3.77","48","49.2","0","0","0","0","0","0"
"Ronnie Bell","SF","WR","3.2","7.8","-4.6","0.4","1","-0.6","8","2","3.19","22","45.48","0","0.2688","0","0","0","0"
"Cody White","SEA","WR","5.4","3.8","1.6000000000000005","1.4","0.9","0.4","4","2","1.71","44","25.07","0","0.0768","0","0","0","0"
"Isaiah Hodgins","NYG","WR","2.2","2.8","-0.5999999999999996","0.7","0.9","-0.2","3","2","1.63","12","19.26","0","0.0096","0","0","0","0"
"Jack Stoll","MIA","TE","2","3.4","-1.4","0.2","0.4","-0.2","9","2","2.15","10","18.55","0","0.0768","0","0","0","0"
"Eric Tomlinson","LAC","TE","1.9","5.3","-3.4","0.2","0.6","-0.4","9","2","3","9","16.56","0","0.3552","0","0","0","0"
"Isaiah Williams","CIN","WR","1.6","3.8","-2.1999999999999997","0.2","0.5","-0.3","7","2","2.55","6","25.44","0","0","0","0","0","0"
"Grant DuBose","MIA","WR","2.1","5.6","-3.4999999999999996","0.7","1.9","-1.2","3","2","2.72","11","38.69","0","0.0672","0","0","0","0"
"J.J. Taylor","HST","RB","5.4","8.5","-3.0999999999999996","1.4","2.1","-0.8","4","2","2.39","0","12.16","0","0","44","42.5124","0","0.3"
"E.J. Jenkins","PHI","TE","7.2","4.4","2.8","0.9","0.6","0.3","8","1","1.2","7","6.01","1","0.5376","0","0","0","0"
"Charlie Jones","CIN","WR","1","1.4","-0.3999999999999999","0.1","0.2","-0.1","7","1","0.79","5","7.28","0","0.0384","0","0","0","0"
"Jacob Kibodi","CLV","RB","4.4","6.8","-2.3999999999999995","4.4","6.8","-2.4","1","1","2.39","15","18.81","0","0.2304","24","22.8242","0","0.01"
"Ross Dwelley","ATL","TE","1","1","0","0.1","0.1","0","14","1","0.85","5","5.91","0","0","0","0","0","0"
"Anthony Miller","BLT","WR","2.1","1.1","1","1.1","0.6","0.5","2","1","0.49","16","8.95","0","0","0","0","0","0"
"Javon Baker","NE","WR","1.7","4.8","-3.0999999999999996","0.2","0.5","-0.3","9","1","2.24","12","36.45","0","0.0096","0","0","0","0"
"Chris Blair","ATL","WR","2.2","3.2","-1","0.7","1.1","-0.3","3","1","1.23","17","25.55","0","0.0096","0","0","0","0"
"John Samuel Shenker","LV","TE","1.2","1.3","-0.10000000000000009","0.2","0.2","0","7","1","0.84","7","8.49","0","0","0","0","0","0"
"Sam Hubbard","CIN","TE","6.7","2.9","3.8000000000000003","1.7","0.7","1","4","1","0.45","2","0.9","1","0.432","0","0","0","0"
"Geoff Swaim","CLV","TE","1.2","1.2","0","0.1","0.1","0","8","1","0.85","7","7.88","0","0","0","0","0","0"
"Brandon Johnson","PIT","WR","1.4","1.1","0.2999999999999998","0.5","0.4","0.1","3","1","0.79","9","6.85","0","0","0","0","0","0"
"David Martin-Robinson","TEN","TE","1.1","1.2","-0.09999999999999987","0.2","0.2","0","5","1","0.89","6","8.04","0","0","0","0","0","0"
"Anthony Gould","IND","WR","2.8","1.6","1.1999999999999997","0.7","0.4","0.3","4","1","0.63","23","13.05","0","0","0","0","0","0"
"Feleipe Franks","CAR","TE","1.7","3.9","-2.2","0.1","0.3","-0.2","12","1","1.72","12","30.57","0","0","0","0","0","0"
"Jaelon Darden","SEA","WR","1.1","1","0.10000000000000009","0.4","0.3","0","3","1","0.91","6","5.16","0","0","0","0","0","0"
"John FitzPatrick","GB","TE","0.7","1.1","-0.40000000000000013","0.1","0.1","0","9","1","0.85","2","7.18","0","0","0","0","0","0"
"Trent Taylor","SF","WR","1.6","1.5","0.10000000000000009","0.8","0.8","0.1","2","1","0.77","11","10.46","0","0.0096","0","0","0","0"
"Robbie Chosen","MIA","WR","1","10.6","-9.6","0.5","5.3","-4.8","2","1","2.49","5","33.71","0","1","0","0","0","0"
"Velus Jones Jr.","CAR","RB","2.4","2.2","0.19999999999999973","1.2","1.1","0.1","2","1","0.95","8","3.79","0","0","11","13.2104","0","0.01"
"Dalvin Cook","DAL","RB","3.5","5.2","-1.7000000000000002","1.8","2.6","-0.9","2","1","0.84","10","8.61","0","0","20","38.3768","0","0.02"
"Blake Watson","DEN","RB","2.8","4.1","-1.2999999999999998","1.4","2","-0.6","2","1","1.77","13","10.56","0","0.0576","10","16.6796","0","0.03"
"Collin Johnson","CHI","WR","1.1","1.9","-0.7999999999999998","0.1","0.2","-0.1","8","1","1.29","6","12.72","0","0","0","0","0","0"
"Jared Wiley","KC","TE","1.2","0.5","0.7","0.2","0.1","0.1","7","1","0.5","7","2.75","0","0","0","0","0","0"
"Chris Collier","LV","RB","1.3","4.8","-3.5","0.4","1.6","-1.2","3","1","1.87","-4","11.98","0","0.0192","12","23.0006","0","0.04"
"Casey Washington","ATL","WR","1.9","2.7","-0.8000000000000003","0.9","1.4","-0.4","2","1","1.2","14","19.63","0","0.0192","0","0","0","0"
"Tyler Scott","CHI","WR","1","1","0","0.1","0.1","0","9","1","0.9","5","5.81","0","0","0","0","0","0"
"Devontez Walker","BLT","WR","8.6","6.1","2.5","1.4","1","0.4","6","1","0.76","21","24.11","1","0.5472","0","0","0","0"
"Zach Davidson","BUF","TE","1","1.3","-0.30000000000000004","0.3","0.4","-0.1","3","1","0.84","5","8.63","0","0","0","0","0","0"
"Brycen Tremayne","WAS","WR","0.3","1","-0.7","0.1","0.5","-0.3","2","1","0.97","-2","4.95","0","0","0","0","0","0"
"Jha'Quan Jackson","TEN","WR","0.8","4.7","-3.9000000000000004","0.1","0.5","-0.4","9","1","1.49","8","37.52","0","0.0384","-5","0","0","0"
"Jody Fortson","KC","TE","1","2.7","-1.7000000000000002","0.3","0.9","-0.6","3","1","1.58","5","14.13","0","0.0768","0","0","0","0"
"Mike Boone","CAR","RB","5.4","9.8","-4.4","1.1","2","-0.9","5","1","2.88","-2","14.7","0","0.0096","51","55.9188","0","0.2"
"Marcedes Lewis","CHI","TE","0.7","1.1","-0.40000000000000013","0","0.1","0","17","1","0.86","2","6.31","0","0","0","0","0","0"
"MarShawn Lloyd","GB","RB","2.3","4.2","-1.9000000000000004","2.3","4.2","-1.9","1","1","0.95","3","4.84","0","0.0288","15","27.9006","0","0.04"
"Ramel Keyton","LV","WR","1.2","3.9","-2.7","0.2","0.6","-0.4","7","1","1.45","7","16.08","0","0.2688","0","0","0","0"
"Tay Martin","TEN","WR","11.4","3.1","8.3","11.4","3.1","8.3","1","1","0.7","49","20.85","1","0.1152","0","0","0","0"
"Shane Zylstra","DET","TE","2.7","1.5","1.2000000000000002","0.2","0.1","0.1","12","1","0.77","22","10.92","0","0","0","0","0","0"
"Keaton Mitchell","BLT","RB","6.3","7.9","-1.6000000000000005","1.6","2","-0.4","4","1","0.93","28","3.53","0","0","30","68.796","0","0.03"
"Marcus Jones","NE","RB","2.8","1.4","1.4","0.9","0.5","0.5","3","1","0.98","18","4.71","0","0","5","4.6648","0","0"
"Myles Gaskin","MIN","RB","1.5","2.8","-1.2999999999999998","0.8","1.4","-0.6","2","1","0.91","11","7.43","0","0","-1","12.7204","0","0.06"
"Ben VanSumeren","PHI","RB","0.5","1.6","-1.1","0.1","0.3","-0.2","6","1","0.84","0","4.95","0","0.1152","0","0","0","0"
"Cody Schrader","LA","RB","1.4","1.7","-0.30000000000000004","1.4","1.7","-0.3","1","1","0.88","6","7.55","0","0","3","4.704","0","0"
"Jermar Jefferson","DET","RB","3.7","8.1","-4.3999999999999995","1.9","4","-2.2","2","1","0.87","10","6.84","0","0","22","19.2672","0","0.85"
"Tyrell Shavers","BUF","WR","13.4","1","12.4","4.5","0.3","4.1","3","1","0.92","69","5.68","1","0","0","0","0","0"
"Chris Rodriguez Jr.","WAS","RB","31","29.2","1.8000000000000007","4.4","4.2","0.3","7","1","0.87","12","7.23","0","0","173","132.6234","2","2.47"
"George Holani","SEA","RB","1.4","2.5","-1.1","0.7","1.3","-0.6","2","1","0.9","-1","6.16","0","0","10","13.867","0","0"
"Kendric Pryor","CIN","WR","1.4","0.8","0.5999999999999999","0.7","0.4","0.3","2","1","0.49","9","5.15","0","0","0","0","0","0"
"John Ross","PHI","WR","1.1","3.2","-2.1","1.1","3.2","-2.1","1","1","1.02","6","16.44","0","0.1824","0","0","0","0"
"Erik Ezukanma","MIA","WR","0","2.8","-2.8","0","1.4","-1.4","2","0","0.66","0","14.66","0","0.1728","0","0","0","0"
"Justyn Ross","KC","WR","0","2.6","-2.6","0","1.3","-1.3","2","0","0.36","0","3.6","0","0.3456","0","0","0","0"
"Skyy Moore","KC","WR","0","2.5","-2.5","0","0.4","-0.4","6","0","1.61","0","17.1","0","0","0","0","0","0"
"Tyreik McAllister","LV","WR","1.1","0.9","0.20000000000000007","1.1","0.9","0.2","1","0","0","0","0","0","0","11","7.6734","0","0.03"
"Reggie Gilliam","BUF","RB","0.7","2.9","-2.2","0","0.2","-0.2","14","0","0","0","0","0","0","7","10.3488","0","0.31"
"Andrew Beck","HST","RB","0","1.9","-1.9","0","0.5","-0.5","4","0","0.57","0","16.33","0","0","0","0","0","0"
"Steven Sims","BLT","WR","0","0.5","-0.5","0","0.1","-0.1","4","0","0","0","0","0","0","0","4.606","0","0"
"Jase McClellan","ATL","RB","3.2","6","-2.8","1.6","3","-1.4","2","0","0","0","0","0","0","32","57.8788","0","0.03"
"Brayden Willis","SF","TE","0","1.2","-1.2","0","0.2","-0.2","7","0","1","0","7.36","0","0","0","0","0","0"
"Ke'Shawn Vaughn","SF","RB","0.4","1","-0.6","0.4","1","-0.6","1","0","0","0","0","0","0","4","9.6334","0","0.01"
"Dylan Laube","LV","RB","0","0.5","-0.5","0","0.3","-0.3","2","0","0","0","0","0","0","0","4.5766","0","0"
"Rasheen Ali","BLT","RB","3.1","6.9","-3.8000000000000003","0.8","1.7","-1","4","0","1.84","0","8.25","0","0.0192","31","40.0134","0","0.17"
"Darrynton Evans","CHI","RB","0.3","1.4","-1.0999999999999999","0.3","1.4","-1.1","1","0","0","0","0","0","0","3","14.3374","0","0"
"Tyrion Davis-Price","PHI","RB","0.7","1.6","-0.9000000000000001","0.7","1.6","-0.9","1","0","0","0","0","0","0","7","13.7788","0","0.03"
"Raheem Blackshear","CAR","RB","8","7.4","0.5999999999999996","0.9","0.8","0.1","9","0","0","0","0","0","0","80","69.3056","0","0.07"
"Aaron Shampklin","PIT","RB","1.7","4.6","-2.8999999999999995","0.6","1.5","-1","3","0","0","0","0","0","0","17","21.5894","0","0.4"
"British Brooks","HST","RB","0.2","0.4","-0.2","0.1","0.2","-0.1","2","0","0","0","0","0","0","2","3.8612","0","0.01"
"Xavier Weaver","ARZ","WR","0","4.5","-4.5","0","2.3","-2.3","2","0","0.74","0","13.46","0","0.4704","0","0","0","0"
"Tom Kennedy","DET","WR","0","1.3","-1.3","0","0.3","-0.3","4","0","0.55","0","6.66","0","0.0672","0","0","0","0"
"Kadarius Toney","CLV","WR","-0.4","1.9","-2.3","-0.1","0.6","-0.8","3","0","0.93","0","4.84","0","0","-4","9.7216","0","0"
"Dareke Young","SEA","WR","0","1.1","-1.1","0","0.1","-0.1","9","0","0.64","0","6.98","0","0.0096","0","0","0","0"
"Kameron Johnson","TB","WR","1.1","5.6","-4.5","0.3","1.4","-1.1","4","0","0.69","0","2.07","0","0.6624","11","8.0458","0","0.04"
"Stephen Sullivan","CAR","TE","0","1.2","-1.2","0","1.2","-1.2","1","0","0.52","0","9.88","0","0","0","0","0","0"
"Jonathan Ward","PIT","RB","2.2","2.4","-0.19999999999999973","0.7","0.8","-0.1","3","0","0","0","0","0","0","22","21.9814","0","0.03"
"Brenden Bates","CLV","TE","0","1","-1","0","0.2","-0.2","6","0","0.9","0","5.93","0","0","0","0","0","0"
"Joshua Kelley","TEN","RB","0.2","0.6","-0.39999999999999997","0.1","0.3","-0.2","2","0","0","0","0","0","0","2","5.5664","0","0"
"Baylor Cupp","KC","TE","0","1.2","-1.2","0","1.2","-1.2","1","0","0.89","0","5.88","0","0.0288","0","0","0","0"
"Jermaine Jackson","NO","WR","-0.1","0.5","-0.6","-0.1","0.3","-0.3","2","0","0","0","0","0","0","-1","4.802","0","0.01"
"Adam Prentice","NO","RB","0","3.3","-3.3","0","0.2","-0.2","17","0","2.76","0","19.04","0","0","0","0","0","0"
"Terrell Jennings","NE","RB","3.3","11.6","-8.3","1.6","5.8","-4.2","2","0","1.34","0","14.87","0","0.3648","33","57.9866","0","0.25"
"Tony Jones Jr.","ARZ","RB","11.5","1.9","9.6","11.5","1.9","9.6","1","0","0","0","0","0","0","55","18.571","1","0.01"
"Braxton Berrios","MIA","WR","0","5.8","-5.8","0","1","-1","6","0","2.21","0","21.49","0","0.432","0","0","0","0"
